Run,Entropy,Contrast,Homogeneity
0,2.4746062198489653,0.5907254361799816,0.6948484848484847
1,2.4696569490213798,0.47208448117539037,0.32194061830425463
2,2.3672524649279674,0.4319926538108357,0.2929017447199264
3,2.3987168402759864,0.46517906336088155,0.28262626262626256
4,2.3282195760658198,0.43022956841138665,0.26639424548515456
5,2.3047690322735512,0.42716253443526164,0.2543771043771044
6,2.2633272089481533,0.4199081726354454,0.24457912457912456
7,2.2358147221586444,0.39928374655647375,0.2378298132843587
8,2.205957310110998,0.3986593204775023,0.22521579430670338
9,2.169721932931248,0.38852157943067034,0.2182093663911846
10,2.1486805965900677,0.3838016528925621,0.21327517600244875
