Run,Entropy,Contrast,Homogeneity
0,2.422452666374301,0.59521484375,0.7242838541666667
1,1.7446390136614098,0.26904296875,0.14298502604166666
2,1.7939376794254298,0.2919921875,0.14208984375
3,1.7858558596031346,0.3193359375,0.13460286458333334
4,1.7613110456523615,0.33203125,0.12858072916666669
5,1.660278749190457,0.24853515625,0.128173828125
6,1.6523700976084739,0.26513671875,0.12312825520833333
7,1.6753816934132932,0.2890625,0.119140625
8,1.4912677150549873,0.20458984375,0.110107421875
9,1.5925109561774602,0.2373046875,0.12158203125
10,1.689928197939124,0.2646484375,0.13151041666666666
