Run,Entropy,Contrast,Homogeneity
0,0.4713287845353988,0.03662109375,0.020263671875
1,0.5678427379943547,0.0537109375,0.025390625
2,0.4419023064118349,0.037109375,0.017740885416666668
3,0.45981034618779804,0.05078125,0.017415364583333332
4,0.4913769840494209,0.04248046875,0.021565755208333332
5,0.49325515088863786,0.0380859375,0.02197265625
6,0.5656498093562937,0.0478515625,0.026041666666666668
7,0.6266121796794908,0.06005859375,0.030680338541666668
8,0.6575919013677982,0.08056640625,0.029052734375
9,0.6451428507875451,0.0986328125,0.0263671875
10,0.5982829855292728,0.06396484375,0.027099609375
